Region,Alzheimer's disease: (1/1/04 - 10/18/22),Dementia: (1/1/04 - 10/18/22),Control: (1/1/04 - 10/18/22)
Alabama,3%,6%,91%
Alaska,3%,4%,93%
Arkansas,3%,6%,91%
Indiana,4%,6%,90%
Oklahoma,4%,5%,91%
Arizona,4%,6%,90%
Louisiana,3%,6%,91%
Kansas,4%,5%,91%
North Carolina,4%,6%,90%
Mississippi,4%,6%,90%
Utah,3%,5%,92%
South Carolina,4%,6%,90%
Montana,3%,6%,91%
Missouri,4%,6%,90%
Wyoming,4%,5%,91%
Idaho,4%,5%,91%
North Dakota,3%,5%,92%
Oregon,3%,6%,91%
Nevada,3%,5%,92%
Ohio,5%,6%,89%
Georgia,3%,5%,92%
Texas,4%,5%,91%
Delaware,4%,6%,90%
Michigan,4%,6%,90%
New Mexico,4%,5%,91%
Illinois,4%,5%,91%
Washington,3%,6%,91%
Kentucky,4%,6%,90%
Iowa,5%,6%,89%
Nebraska,4%,6%,90%
New Hampshire,5%,7%,88%
West Virginia,5%,7%,88%
Maryland,4%,7%,89%
District of Columbia,3%,5%,92%
California,4%,5%,91%
Minnesota,4%,7%,89%
Florida,4%,6%,90%
Colorado,4%,5%,91%
Tennessee,4%,7%,89%
Rhode Island,5%,6%,89%
South Dakota,4%,6%,90%
Pennsylvania,5%,6%,89%
Virginia,4%,5%,91%
Massachusetts,5%,7%,88%
New Jersey,4%,6%,90%
Wisconsin,4%,7%,89%
Connecticut,5%,7%,88%
Maine,5%,8%,87%
Vermont,4%,7%,89%
Hawaii,4%,7%,89%
New York,5%,6%,89%
