Month,Poisoning: (United States),Accident: (United States),Traffic collision: (United States),Falling: (United States),Control: (United States)
2004-01,3,19,14,<1,83
2004-02,3,20,15,1,87
2004-03,3,20,15,1,90
2004-04,3,22,22,1,94
2004-05,3,20,14,1,89
2004-06,2,21,15,1,100
2004-07,2,21,15,<1,94
2004-08,2,20,14,1,89
2004-09,3,21,15,1,93
2004-10,3,23,17,1,99
2004-11,3,20,16,1,86
2004-12,3,19,15,1,83
2005-01,3,19,15,1,83
2005-02,3,20,16,1,85
2005-03,3,18,15,1,84
2005-04,3,20,16,1,84
2005-05,3,21,17,1,89
2005-06,3,22,19,1,88
2005-07,3,23,17,1,90
2005-08,3,20,15,1,84
2005-09,2,19,14,1,82
2005-10,2,21,15,1,80
2005-11,3,19,16,1,79
2005-12,3,19,14,1,76
2006-01,3,19,13,1,75
2006-02,3,21,15,1,77
2006-03,3,21,16,1,78
2006-04,3,20,14,1,79
2006-05,3,20,15,1,78
2006-06,2,21,15,1,76
2006-07,2,21,14,1,76
2006-08,2,19,14,1,74
2006-09,3,20,13,1,76
2006-10,3,21,15,1,77
2006-11,3,20,14,1,73
2006-12,4,18,13,1,70
2007-01,3,19,15,1,71
2007-02,3,18,13,1,71
2007-03,3,20,16,1,71
2007-04,3,21,16,1,72
2007-05,3,22,18,1,77
2007-06,3,26,18,1,77
2007-07,2,25,17,1,73
2007-08,2,25,19,1,72
2007-09,2,22,17,1,72
2007-10,3,23,18,1,76
2007-11,3,20,16,1,76
2007-12,3,20,17,1,74
2008-01,3,22,16,1,67
2008-02,2,21,15,1,72
2008-03,3,21,16,1,73
2008-04,3,23,18,1,75
2008-05,3,23,17,1,73
2008-06,3,25,19,1,76
2008-07,3,27,18,1,75
2008-08,2,29,18,1,69
2008-09,3,25,17,1,70
2008-10,3,24,17,1,71
2008-11,3,23,15,1,73
2008-12,3,23,16,1,72
2009-01,3,24,15,1,71
2009-02,3,24,16,1,71
2009-03,3,28,17,1,72
2009-04,3,27,18,1,72
2009-05,3,28,21,1,71
2009-06,3,32,18,1,74
2009-07,3,32,18,1,73
2009-08,3,30,19,1,73
2009-09,3,28,19,1,78
2009-10,3,28,18,1,74
2009-11,3,33,22,1,72
2009-12,3,30,19,1,70
2010-01,4,26,16,1,68
2010-02,4,38,18,1,68
2010-03,3,27,17,1,73
2010-04,3,30,17,1,82
2010-05,3,31,20,1,74
2010-06,3,31,18,1,74
2010-07,3,31,20,1,68
2010-08,3,35,23,1,67
2010-09,3,33,20,1,63
2010-10,3,32,21,1,70
2010-11,3,30,18,1,66
2010-12,3,30,17,1,62
2011-01,4,25,16,1,66
2011-02,3,25,18,1,71
2011-03,3,27,19,1,70
2011-04,3,29,19,1,71
2011-05,3,27,20,1,72
2011-06,3,30,28,1,74
2011-07,3,34,24,1,69
2011-08,3,34,25,1,70
2011-09,3,29,20,1,72
2011-10,3,28,30,1,69
2011-11,4,29,21,1,69
2011-12,4,30,22,1,68
2012-01,4,32,22,1,65
2012-02,4,28,22,1,72
2012-03,3,28,21,1,72
2012-04,4,31,23,1,72
2012-05,4,31,25,1,70
2012-06,3,32,24,1,70
2012-07,3,35,25,1,67
2012-08,3,34,23,1,72
2012-09,3,33,23,1,67
2012-10,3,30,23,1,69
2012-11,4,30,22,1,65
2012-12,4,34,22,1,73
2013-01,4,29,20,1,78
2013-02,4,28,27,1,73
2013-03,4,30,23,1,69
2013-04,5,28,22,1,83
2013-05,4,30,23,1,69
2013-06,4,31,26,1,72
2013-07,4,41,26,1,71
2013-08,3,37,27,1,84
2013-09,3,32,23,1,74
2013-10,4,33,25,1,69
2013-11,4,31,23,1,67
2013-12,4,38,44,1,69
2014-01,4,31,23,1,68
2014-02,4,29,22,1,64
2014-03,4,31,22,1,68
2014-04,4,36,25,1,69
2014-05,4,37,25,1,73
2014-06,3,39,29,1,69
2014-07,3,41,27,1,72
2014-08,3,37,28,1,63
2014-09,3,32,22,1,71
2014-10,3,32,23,1,68
2014-11,4,31,22,1,67
2014-12,4,30,24,1,66
