Month,chronic lower respiratory diseases: (United States),Bronchitis: (United States),Emphysema: (United States),clrd: (United States),Control: (United States)
2004-01,0,2,1,0,83
2004-02,0,2,1,0,87
2004-03,<1,2,1,0,90
2004-04,<1,2,1,0,94
2004-05,0,2,1,0,89
2004-06,0,1,1,0,100
2004-07,0,1,1,<1,94
2004-08,<1,1,1,0,89
2004-09,0,2,1,0,93
2004-10,0,2,1,0,99
2004-11,0,3,1,<1,86
2004-12,0,3,1,0,83
2005-01,0,3,2,0,83
2005-02,0,4,1,0,85
2005-03,0,3,1,0,84
2005-04,0,3,1,0,84
2005-05,<1,2,1,<1,89
2005-06,0,2,1,0,88
2005-07,0,1,1,0,90
2005-08,<1,1,1,0,84
2005-09,<1,2,1,0,82
2005-10,0,2,1,0,80
2005-11,0,2,1,<1,79
2005-12,<1,3,1,0,76
2006-01,<1,3,1,0,75
2006-02,0,3,1,0,77
2006-03,0,3,1,0,78
2006-04,0,2,1,0,79
2006-05,<1,2,1,0,78
2006-06,0,1,1,0,76
2006-07,0,1,1,0,76
2006-08,0,1,1,<1,74
2006-09,<1,2,1,0,76
2006-10,0,2,1,0,77
2006-11,0,3,1,0,73
2006-12,0,3,1,0,70
2007-01,0,3,1,0,71
2007-02,0,3,1,0,71
2007-03,0,3,1,0,71
2007-04,0,2,1,0,72
2007-05,0,2,1,0,77
2007-06,<1,2,1,0,77
2007-07,<1,1,1,<1,73
2007-08,<1,1,1,0,72
2007-09,0,2,1,0,72
2007-10,<1,2,1,0,76
2007-11,<1,2,1,<1,76
2007-12,0,3,1,0,74
2008-01,0,3,1,0,67
2008-02,0,4,1,0,72
2008-03,0,3,1,0,73
2008-04,0,2,1,0,75
2008-05,<1,2,1,0,73
2008-06,<1,2,1,0,76
2008-07,0,1,1,0,75
2008-08,0,1,1,0,69
2008-09,<1,2,1,0,70
2008-10,0,2,1,0,71
2008-11,0,3,1,0,73
2008-12,0,3,1,0,72
2009-01,0,3,1,<1,71
2009-02,<1,4,1,0,71
2009-03,<1,3,1,0,72
2009-04,<1,2,1,0,72
2009-05,<1,2,1,0,71
2009-06,<1,2,1,<1,74
2009-07,0,2,1,0,73
2009-08,0,2,1,0,73
2009-09,<1,3,1,<1,78
2009-10,<1,4,1,0,74
2009-11,0,4,1,0,72
2009-12,0,3,1,<1,70
2010-01,<1,3,1,<1,68
2010-02,0,3,1,0,68
2010-03,<1,3,1,0,73
2010-04,<1,3,1,0,82
2010-05,0,2,1,0,74
2010-06,0,2,1,0,74
2010-07,<1,2,1,0,68
2010-08,0,2,1,0,67
2010-09,<1,2,1,0,63
2010-10,<1,3,1,<1,70
2010-11,<1,3,1,0,66
2010-12,0,3,1,0,62
2011-01,0,4,1,<1,66
2011-02,<1,5,1,<1,71
2011-03,<1,4,1,<1,70
2011-04,0,3,1,0,71
2011-05,<1,3,1,<1,72
2011-06,<1,2,1,<1,74
2011-07,<1,2,1,0,69
2011-08,0,2,1,0,70
2011-09,<1,3,1,0,72
2011-10,<1,3,1,0,69
2011-11,<1,4,1,0,69
2011-12,0,4,1,0,68
2012-01,<1,4,1,0,65
2012-02,<1,4,1,<1,72
2012-03,<1,4,1,0,72
2012-04,<1,3,1,0,72
2012-05,<1,3,1,<1,70
2012-06,0,2,1,0,70
2012-07,0,2,1,0,67
2012-08,<1,2,1,<1,72
2012-09,<1,3,1,0,67
2012-10,<1,4,1,<1,69
2012-11,<1,4,1,0,65
2012-12,0,6,1,0,73
2013-01,<1,6,1,0,78
2013-02,<1,5,1,<1,73
2013-03,<1,4,1,0,69
2013-04,<1,4,1,<1,83
2013-05,<1,3,1,<1,69
2013-06,0,2,1,0,72
2013-07,<1,2,1,0,71
2013-08,<1,2,1,0,84
2013-09,<1,3,1,<1,74
2013-10,<1,3,1,<1,69
2013-11,<1,4,1,0,67
2013-12,<1,5,1,0,69
2014-01,<1,5,1,<1,68
2014-02,<1,4,1,0,64
2014-03,<1,4,1,<1,68
2014-04,<1,4,1,<1,69
2014-05,<1,3,1,<1,73
2014-06,0,2,1,<1,69
2014-07,<1,2,1,0,72
2014-08,<1,2,1,0,63
2014-09,<1,3,1,<1,71
2014-10,<1,3,1,<1,68
2014-11,<1,4,1,<1,67
2014-12,<1,6,1,<1,66
