Month,Stroke,Diabetes,Cancer,Suicide,Control: (United States)
2004-01,7,23,57,17,83
2004-02,7,24,59,18,87
2004-03,8,24,58,19,90
2004-04,8,26,68,23,94
2004-05,8,22,60,18,89
2004-06,8,24,62,14,100
2004-07,7,23,56,13,94
2004-08,8,22,59,13,89
2004-09,8,22,64,16,93
2004-10,8,24,79,18,99
2004-11,7,24,73,20,86
2004-12,8,22,63,17,83
2005-01,7,22,64,16,83
2005-02,8,24,68,22,85
2005-03,8,23,63,22,84
2005-04,7,26,69,19,84
2005-05,7,23,70,18,89
2005-06,7,22,60,13,88
2005-07,8,19,58,14,90
2005-08,8,21,64,12,84
2005-09,7,21,57,14,82
2005-10,7,21,64,18,80
2005-11,8,21,56,17,79
2005-12,7,18,53,16,76
2006-01,9,23,54,15,75
2006-02,8,22,56,16,77
2006-03,8,24,65,14,78
2006-04,7,21,61,16,79
2006-05,7,22,62,13,78
2006-06,7,21,57,13,76
2006-07,7,19,52,12,76
2006-08,7,20,55,10,74
2006-09,7,22,62,14,76
2006-10,7,23,68,15,77
2006-11,7,22,59,13,73
2006-12,6,19,53,12,70
2007-01,7,21,56,11,71
2007-02,7,21,54,13,71
2007-03,7,22,58,15,71
2007-04,7,23,59,14,72
2007-05,7,22,58,14,77
2007-06,7,20,54,13,77
2007-07,6,21,54,11,73
2007-08,6,22,55,15,72
2007-09,7,21,58,14,72
2007-10,7,22,72,14,76
2007-11,6,21,56,16,76
2007-12,6,17,49,13,74
2008-01,7,20,52,14,67
2008-02,7,20,54,14,72
2008-03,7,21,63,14,73
2008-04,7,22,64,16,75
2008-05,7,20,56,15,73
2008-06,7,20,55,13,76
2008-07,7,20,56,12,75
2008-08,7,20,54,11,69
2008-09,7,20,63,13,70
2008-10,6,21,64,15,71
2008-11,6,21,55,20,73
2008-12,6,18,49,16,72
2009-01,6,20,58,15,71
2009-02,7,21,57,15,71
2009-03,6,21,61,17,72
2009-04,7,22,58,17,72
2009-05,6,20,63,15,71
2009-06,6,20,60,13,74
2009-07,7,20,55,13,73
2009-08,6,20,52,11,73
2009-09,7,20,62,13,78
2009-10,7,20,67,15,74
2009-11,7,20,56,16,72
2009-12,6,18,48,13,70
2010-01,7,20,55,15,68
2010-02,7,21,54,15,68
2010-03,7,23,57,16,73
2010-04,7,22,59,19,82
2010-05,8,20,55,15,74
2010-06,7,19,51,12,74
2010-07,7,19,48,12,68
2010-08,6,18,48,13,67
2010-09,7,18,60,16,63
2010-10,7,20,69,21,70
2010-11,7,20,55,15,66
2010-12,6,17,49,14,62
2011-01,7,19,54,14,66
2011-02,12,20,54,14,71
2011-03,9,20,55,16,70
2011-04,8,19,55,16,71
2011-05,7,19,54,14,72
2011-06,8,19,54,13,74
2011-07,7,17,51,13,69
2011-08,7,17,51,14,70
2011-09,8,18,60,16,72
2011-10,7,20,76,16,69
2011-11,8,19,57,16,69
2011-12,7,17,50,14,68
2012-01,8,21,57,15,65
2012-02,8,20,57,17,72
2012-03,7,20,55,15,72
2012-04,8,19,57,16,72
2012-05,8,19,56,17,70
2012-06,8,16,53,13,70
2012-07,7,17,48,14,67
2012-08,7,17,51,17,72
2012-09,7,17,58,19,67
2012-10,7,19,73,17,69
2012-11,8,18,56,15,65
2012-12,7,16,47,21,73
2013-01,8,18,52,16,78
2013-02,7,18,53,17,73
2013-03,8,20,54,16,69
2013-04,8,20,56,17,83
2013-05,8,18,55,16,69
2013-06,7,18,57,14,72
2013-07,7,18,58,13,71
2013-08,7,18,51,16,84
2013-09,7,18,54,17,74
2013-10,8,19,71,16,69
2013-11,8,20,53,17,67
2013-12,7,16,49,15,69
2014-01,7,19,51,16,68
2014-02,8,19,59,17,64
2014-03,8,20,57,16,68
2014-04,8,20,59,16,69
2014-05,8,19,57,17,73
2014-06,8,19,56,15,69
2014-07,8,19,52,14,72
2014-08,7,18,52,25,63
2014-09,8,20,58,17,71
2014-10,8,20,72,17,68
2014-11,8,20,54,18,67
2014-12,7,17,47,16,66
2015-01,8,18,52,16,63
2015-02,8,19,56,16,65
2015-03,8,22,56,17,69
2015-04,9,19,57,19,73
2015-05,8,19,61,17,70
2015-06,8,19,56,15,72
2015-07,8,19,53,16,72
2015-08,8,20,54,15,70
2015-09,9,19,59,19,73
2015-10,10,21,76,17,73
2015-11,9,22,59,18,68
2015-12,8,19,54,15,70
2016-01,8,20,65,16,71
2016-02,9,21,62,19,71
2016-03,9,21,58,17,74
2016-04,9,21,57,19,73
2016-05,9,19,57,16,71
2016-06,9,20,53,16,77
2016-07,9,19,54,16,70
2016-08,9,17,51,19,68
2016-09,10,19,62,18,71
2016-10,10,19,64,17,70
2016-11,10,19,54,17,69
2016-12,9,18,54,15,67
2017-01,9,20,55,17,69
2017-02,9,20,56,15,71
2017-03,10,21,58,16,68
2017-04,10,20,57,23,70
2017-05,10,21,57,20,73
2017-06,10,21,56,16,72
2017-07,9,18,57,17,70
2017-08,9,19,56,16,66
2017-09,9,19,55,17,69
2017-10,9,20,65,17,76
2017-11,10,20,54,16,72
2017-12,10,19,51,17,66
2018-01,10,20,54,22,68
