Month,Nephritis: (United States),Kidney disease: (United States),Nephrosis: (United States),Nephrotic syndrome: (United States),Control: (United States)
2004-01,<1,2,0,<1,83
2004-02,<1,2,0,<1,87
2004-03,<1,2,0,<1,90
2004-04,<1,2,<1,<1,94
2004-05,<1,2,0,<1,89
2004-06,<1,2,0,<1,100
2004-07,<1,2,<1,<1,94
2004-08,<1,2,0,<1,89
2004-09,<1,2,<1,<1,93
2004-10,<1,2,0,<1,99
2004-11,<1,2,0,<1,86
2004-12,<1,2,0,<1,83
2005-01,<1,2,0,<1,83
2005-02,<1,2,0,<1,85
2005-03,<1,2,<1,<1,84
2005-04,<1,2,<1,<1,84
2005-05,<1,2,0,<1,89
2005-06,<1,2,<1,<1,88
2005-07,<1,2,0,<1,90
2005-08,<1,2,0,<1,84
2005-09,<1,2,0,<1,82
2005-10,<1,2,0,<1,80
2005-11,<1,2,0,<1,79
2005-12,<1,2,0,<1,76
2006-01,<1,2,<1,<1,75
2006-02,<1,2,<1,<1,77
2006-03,<1,2,0,<1,78
2006-04,<1,2,0,<1,79
2006-05,<1,2,0,<1,78
2006-06,<1,2,<1,<1,76
2006-07,<1,2,0,<1,76
2006-08,<1,2,<1,<1,74
2006-09,<1,2,<1,<1,76
2006-10,<1,2,0,<1,77
2006-11,<1,2,<1,<1,73
2006-12,<1,2,<1,<1,70
2007-01,<1,2,0,<1,71
2007-02,<1,2,0,<1,71
2007-03,<1,2,<1,<1,71
2007-04,<1,2,0,<1,72
2007-05,<1,2,<1,<1,77
2007-06,<1,2,0,<1,77
2007-07,<1,2,<1,<1,73
2007-08,<1,2,<1,<1,72
2007-09,<1,2,0,<1,72
2007-10,<1,2,0,<1,76
2007-11,<1,2,<1,<1,76
2007-12,<1,2,<1,<1,74
2008-01,<1,2,<1,<1,67
2008-02,<1,2,<1,<1,72
2008-03,<1,2,<1,<1,73
2008-04,<1,2,<1,<1,75
2008-05,<1,2,<1,<1,73
2008-06,<1,2,<1,<1,76
2008-07,<1,2,<1,<1,75
2008-08,<1,2,<1,<1,69
2008-09,<1,2,0,<1,70
2008-10,<1,2,<1,<1,71
2008-11,<1,2,<1,<1,73
2008-12,<1,2,<1,<1,72
2009-01,<1,2,0,<1,71
2009-02,<1,2,<1,<1,71
2009-03,<1,2,<1,<1,72
2009-04,<1,2,0,<1,72
2009-05,<1,2,<1,<1,71
2009-06,<1,2,0,<1,74
2009-07,<1,2,<1,<1,73
2009-08,<1,2,<1,<1,73
2009-09,<1,2,0,<1,78
2009-10,<1,2,<1,<1,74
2009-11,<1,2,<1,<1,72
2009-12,<1,2,<1,<1,70
2010-01,<1,2,<1,<1,68
2010-02,<1,2,<1,<1,68
2010-03,<1,2,<1,<1,73
2010-04,<1,2,<1,<1,82
2010-05,<1,2,<1,<1,74
2010-06,<1,2,<1,<1,74
2010-07,<1,2,0,<1,68
2010-08,<1,2,<1,<1,67
2010-09,<1,2,<1,<1,63
2010-10,<1,2,<1,<1,70
2010-11,<1,2,0,<1,66
2010-12,<1,2,<1,<1,62
2011-01,<1,2,<1,<1,66
2011-02,<1,2,0,<1,71
2011-03,<1,2,0,<1,70
2011-04,<1,2,<1,<1,71
2011-05,<1,2,<1,<1,72
2011-06,<1,2,<1,<1,74
2011-07,<1,2,<1,<1,69
2011-08,<1,2,<1,<1,70
2011-09,<1,2,<1,<1,72
