,Year,Accident,Alzheimers,CLRD,Stroke,Diabetes,Cancer,Suicide,Flu,Heart,Kidney
0,2004,38,5,2,7,23,63,17,23,11,2
1,2005,38,5,3,7,21,62,16,34,10,2
2,2006,37,4,3,7,21,58,13,30,9,2
3,2007,41,4,3,6,21,56,13,21,9,2
4,2008,43,5,3,6,20,57,14,23,9,2
5,2009,50,5,3,6,20,58,14,125,9,2
6,2010,53,4,3,6,19,55,15,21,9,2
7,2011,54,5,4,7,18,55,14,23,9,2
8,2012,57,4,4,7,18,55,16,25,10,2
9,2013,62,4,4,7,18,55,15,36,9,2
10,2014,61,5,4,7,19,56,17,34,9,2
11,2015,63,6,4,8,19,57,16,32,9,2
12,2016,68,9,4,9,19,57,17,30,10,2
13,2017,65,9,5,9,19,56,17,38,10,2
14,2018,65,9,5,9,20,58,18,62,11,2
15,2019,67,10,5,10,21,61,15,49,12,3
16,2020,55,9,3,9,20,52,14,102,11,2
17,2021,65,10,3,9,22,53,13,41,11,3
18,2022,68,11,4,10,24,57,14,37,12,3
