,Region,Accident,Alzheimers,CLRD,Stroke,Diabetes,Cancer,Suicide,Flu,Heart,Kidney
0,Arkansas,66,9,6,10,23,67,17,59,12,3
1,Utah,64,7,4,8,23,63,21,53,10,2
2,Indiana,65,9,5,10,28,65,17,62,13,3
3,Alaska,56,10,4,10,26,71,17,57,13,3
4,Missouri,75,9,5,10,26,65,19,62,13,3
5,Louisiana,62,10,5,10,23,69,17,57,13,3
6,Mississippi,63,9,5,10,30,65,17,54,12,4
7,Arizona,68,9,5,10,23,69,19,59,12,3
8,Tennessee,68,10,6,10,23,71,17,61,13,3
9,South Carolina,70,10,5,10,26,58,23,63,12,3
10,Kansas,71,8,5,10,26,67,17,58,13,4
11,North Carolina,68,10,5,10,30,69,17,60,14,3
12,Oklahoma,66,9,5,8,23,69,21,62,12,3
13,Texas,65,10,5,10,26,73,17,62,13,3
14,Georgia,69,9,5,8,23,65,23,55,11,2
15,New Mexico,63,9,5,10,26,67,17,62,12,3
16,Wyoming,67,8,4,10,26,67,19,60,13,3
17,Florida,74,9,5,8,23,76,17,55,11,3
18,Montana,67,8,4,8,26,67,21,63,12,3
19,Idaho,71,11,5,10,23,78,17,61,14,4
20,South Dakota,70,8,5,10,23,65,21,56,12,3
21,North Dakota,68,9,5,10,28,65,21,59,13,3
22,Kentucky,70,10,6,10,23,69,17,57,12,3
23,Delaware,78,10,5,10,23,71,19,61,13,3
24,Alabama,69,9,6,10,28,76,17,59,16,4
25,Michigan,73,9,5,10,23,69,19,57,14,4
26,Maryland,71,9,5,10,21,65,21,58,12,3
27,West Virginia,69,10,6,8,23,73,19,66,13,3
28,Oregon,69,11,4,10,23,69,19,64,12,3
29,Colorado,72,10,4,10,23,73,21,62,13,3
30,Washington,69,12,4,10,23,78,17,63,13,4
31,Vermont,75,12,5,10,23,76,17,68,15,3
32,Nevada,75,11,5,13,30,76,17,62,17,5
33,Nebraska,79,8,5,10,23,63,23,56,11,3
34,Iowa,74,9,5,10,23,67,19,57,11,2
35,Minnesota,72,11,5,10,23,67,21,64,12,3
36,Virginia,72,10,5,10,23,71,19,57,14,4
37,Rhode Island,77,9,5,13,26,73,19,59,16,4
38,Connecticut,79,11,6,10,26,76,17,66,14,4
39,New Hampshire,82,11,6,10,23,73,19,67,14,3
40,Ohio,74,10,6,10,28,71,21,61,14,3
41,California,72,11,5,10,26,71,19,65,12,3
42,Illinois,73,9,5,10,23,78,19,60,13,4
43,Pennsylvania,81,12,6,8,26,76,19,63,14,3
44,Wisconsin,78,10,6,10,23,78,21,63,15,4
45,District of Columbia,69,11,5,10,26,78,19,66,14,4
46,New Jersey,77,12,6,10,26,76,19,66,14,4
47,Maine,81,13,6,10,26,78,21,68,15,4
48,New York,72,11,6,10,21,76,23,67,13,3
49,Massachusetts,77,11,6,10,23,82,19,62,14,4
50,Hawaii,70,11,5,10,28,71,21,62,14,4
