,State,Alzheimers,CLRD,Cancer,Diabetes,Heart,Flu,Kidney,Stroke,Suicide,Accident
0,Alabama,-2.1999999999999993,-13.599999999999998,8.100000000000009,18.3,-78.9,64.5,-4.3,-8.8,15.399999999999999,60.4
1,Alaska,-0.09999999999999964,-11.1,10.200000000000003,19.7,-46.5,59.599999999999994,-1.9,-6.800000000000001,16.700000000000003,56.1
2,Arizona,-2.0999999999999996,-11.000000000000002,20.599999999999994,25.700000000000003,-44.800000000000004,70.3,0.9000000000000004,-0.8000000000000007,14.0,59.9
3,Arkansas,0.3999999999999986,-17.1,11.5,21.299999999999997,-72.89999999999999,60.7,-4.3,-8.3,14.399999999999999,49.099999999999994
4,California,-0.5999999999999996,-8.1,19.299999999999997,23.4,-49.199999999999996,68.6,0.5,-3.5,19.3,79.7
5,Colorado,0.5,-12.799999999999999,27.099999999999994,21.5,-37.9,64.2,-0.19999999999999973,-2.1000000000000014,13.6,57.49999999999999
6,Connecticut,4.2,-6.4,17.299999999999997,30.400000000000002,-47.5,60.10000000000001,-0.09999999999999964,0.1999999999999993,17.2,62.0
7,Delaware,2.6999999999999993,-10.500000000000002,13.5,19.8,-57.49999999999999,66.4,-2.5,-3.700000000000001,18.7,66.7
8,District of Columbia,4.499999999999999,-2.1000000000000005,14.099999999999994,17.9,-72.8,69.0,-0.5,-2.0,18.4,68.4
9,Florida,4.8999999999999995,-9.1,7.400000000000006,23.799999999999997,-49.9,72.89999999999999,-0.5999999999999996,-1.6000000000000014,22.7,67.7
10,Georgia,-2.3999999999999986,-11.9,14.100000000000009,23.299999999999997,-60.699999999999996,63.6,-3.0,-6.300000000000001,16.1,70.0
11,Hawaii,6.6,-1.2000000000000002,29.499999999999993,30.200000000000003,-38.6,65.3,-0.8999999999999995,-3.200000000000001,16.1,70.60000000000001
12,Idaho,0.1999999999999993,-12.4,21.799999999999997,19.0,-48.5,70.0,-0.09999999999999964,-6.699999999999999,18.3,62.9
13,Illinois,3.6999999999999993,-9.1,19.799999999999997,23.7,-56.50000000000001,68.6,-3.3999999999999995,-3.900000000000002,17.0,65.89999999999999
14,Indiana,-0.3000000000000007,-15.200000000000001,6.700000000000003,18.1,-63.699999999999996,60.89999999999999,-5.199999999999999,-7.599999999999998,22.7,67.39999999999999
15,Iowa,-0.5999999999999996,-12.200000000000001,14.900000000000006,23.6,-53.4,69.1,0.7000000000000002,-3.0,15.7,61.599999999999994
16,Kansas,0.40000000000000036,-14.6,15.100000000000009,23.2,-50.00000000000001,65.9,-3.0,-4.5,17.4,64.80000000000001
17,Kentucky,-1.3000000000000007,-18.1,13.200000000000003,17.6,-71.39999999999999,58.99999999999999,-4.499999999999999,-8.099999999999998,14.799999999999999,66.80000000000001
18,Louisiana,-4.0,-11.999999999999998,6.0,20.2,-74.0,69.39999999999999,-6.1000000000000005,-9.2,20.700000000000003,60.900000000000006
19,Maine,2.700000000000001,-12.799999999999999,23.5,19.5,-45.3,68.30000000000001,-0.7999999999999998,-2.6000000000000014,15.0,69.0
20,Maryland,3.4000000000000004,-7.0,12.599999999999994,19.7,-57.699999999999996,61.4,-1.2999999999999998,-3.700000000000001,22.1,74.60000000000001
21,Massachusetts,3.0,-6.800000000000001,13.5,28.200000000000003,-43.800000000000004,64.7,-2.5999999999999996,-0.5,22.400000000000002,69.7
22,Michigan,2.0999999999999996,-10.2,14.399999999999991,18.4,-67.80000000000001,63.5,-2.0999999999999996,-3.900000000000002,15.899999999999999,70.10000000000001
