,Year,Accident,Alzheimers,CLRD,Stroke,Diabetes,Cancer,Suicide,Flu,Heart,Kidney
0,2004,30.4,4.0,1.6,5.6000000000000005,18.4,50.4,13.600000000000001,18.4,8.799999999999999,1.6
1,2005,30.4,4.0,2.4,5.6000000000000005,16.8,49.6,12.8,27.200000000000003,8.0,1.6
2,2006,29.599999999999998,3.2,2.4,5.6000000000000005,16.8,46.400000000000006,10.4,24.0,7.199999999999999,1.6
3,2007,32.800000000000004,3.2,2.4,4.8,16.8,44.800000000000004,10.4,16.8,7.199999999999999,1.6
4,2008,34.4,4.0,2.4,4.8,16.0,45.6,11.200000000000001,18.4,7.199999999999999,1.6
5,2009,40.0,4.0,2.4,4.8,16.0,46.400000000000006,11.200000000000001,100.0,7.199999999999999,1.6
6,2010,42.4,3.2,2.4,4.8,15.2,44.0,12.0,16.8,7.199999999999999,1.6
7,2011,43.2,4.0,3.2,5.6000000000000005,14.399999999999999,44.0,11.200000000000001,18.4,7.199999999999999,1.6
8,2012,45.6,3.2,3.2,5.6000000000000005,14.399999999999999,44.0,12.8,20.0,8.0,1.6
9,2013,49.6,3.2,3.2,5.6000000000000005,14.399999999999999,44.0,12.0,28.799999999999997,7.199999999999999,1.6
10,2014,48.8,4.0,3.2,5.6000000000000005,15.2,44.800000000000004,13.600000000000001,27.200000000000003,7.199999999999999,1.6
11,2015,50.4,4.8,3.2,6.4,15.2,45.6,12.8,25.6,7.199999999999999,1.6
12,2016,54.400000000000006,7.199999999999999,3.2,7.199999999999999,15.2,45.6,13.600000000000001,24.0,8.0,1.6
13,2017,52.0,7.199999999999999,4.0,7.199999999999999,15.2,44.800000000000004,13.600000000000001,30.4,8.0,1.6
